127.0.0.1 - - [18/Nov/2024:21:47:03 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [18/Nov/2024:21:47:05 +0900] "GET /coffee/index.jsp HTTP/1.1" 200 213
0:0:0:0:0:0:0:1 - - [18/Nov/2024:21:47:05 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [18/Nov/2024:21:47:24 +0900] "GET /coffee/index.jsp HTTP/1.1" 200 213
0:0:0:0:0:0:0:1 - - [18/Nov/2024:21:47:25 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [18/Nov/2024:21:48:12 +0900] "GET /coffee/index.jsp HTTP/1.1" 200 212
0:0:0:0:0:0:0:1 - - [18/Nov/2024:21:48:12 +0900] "GET /coffee/style.css HTTP/1.1" 200 122
0:0:0:0:0:0:0:1 - - [18/Nov/2024:21:48:22 +0900] "GET /coffee/index.jsp HTTP/1.1" 200 212
0:0:0:0:0:0:0:1 - - [18/Nov/2024:21:48:22 +0900] "GET /coffee/style.css HTTP/1.1" 200 94
0:0:0:0:0:0:0:1 - - [18/Nov/2024:21:48:22 +0900] "GET /coffee/index.jsp HTTP/1.1" 200 212
0:0:0:0:0:0:0:1 - - [18/Nov/2024:21:48:22 +0900] "GET /coffee/style.css HTTP/1.1" 304 -
