127.0.0.1 - - [25/Nov/2024:21:54:42 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [25/Nov/2024:21:54:44 +0900] "GET /coffee/index.jsp HTTP/1.1" 200 1117
0:0:0:0:0:0:0:1 - - [25/Nov/2024:21:54:44 +0900] "GET /coffee/style.css HTTP/1.1" 200 675
0:0:0:0:0:0:0:1 - - [25/Nov/2024:21:54:44 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [25/Nov/2024:21:56:47 +0900] "GET /coffee/index.jsp HTTP/1.1" 200 1076
0:0:0:0:0:0:0:1 - - [25/Nov/2024:21:56:47 +0900] "GET /coffee/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Nov/2024:21:56:55 +0900] "GET /coffee/index.jsp HTTP/1.1" 200 1076
0:0:0:0:0:0:0:1 - - [25/Nov/2024:21:56:56 +0900] "GET /coffee/index.jsp HTTP/1.1" 200 1076
0:0:0:0:0:0:0:1 - - [25/Nov/2024:21:56:56 +0900] "GET /coffee/index.jsp HTTP/1.1" 200 1076
0:0:0:0:0:0:0:1 - - [25/Nov/2024:21:56:56 +0900] "GET /coffee/index.jsp HTTP/1.1" 200 1076
0:0:0:0:0:0:0:1 - - [25/Nov/2024:21:56:56 +0900] "GET /coffee/index.jsp HTTP/1.1" 200 1076
0:0:0:0:0:0:0:1 - - [25/Nov/2024:21:56:56 +0900] "GET /coffee/index.jsp HTTP/1.1" 200 1076
0:0:0:0:0:0:0:1 - - [25/Nov/2024:21:56:57 +0900] "GET /coffee/index.jsp HTTP/1.1" 200 1076
0:0:0:0:0:0:0:1 - - [25/Nov/2024:21:56:59 +0900] "GET /coffee/index.jsp HTTP/1.1" 200 1076
0:0:0:0:0:0:0:1 - - [25/Nov/2024:21:56:59 +0900] "GET /coffee/index.jsp HTTP/1.1" 200 1076
0:0:0:0:0:0:0:1 - - [25/Nov/2024:21:56:59 +0900] "GET /coffee/index.jsp HTTP/1.1" 200 1076
